"","Company_Name","Amount_Dollars","Sector","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Fund_Name","Fund_EIN","Date"
"23","Tulp Street Pte Limited",206008,"Medicine & Biotech","Singapore","Asia","50 Raffles Place #37-00, Singapore Land Tower Singapore 048623","lummo.io","N/A","Software infrastructure for clinical trials","Hedosophia Partners IV L.P.","N/A","6/17/2021"
"24","Salt Pay Co Ltd.",343363,"Software & Tech","Cayman Islands","South America","Intertrust Corporate Services (Cayman) Limited, One Nexus Way Camana Bay, Grand Cayman, KY1-9005, Cayman Islands",NA,"N/A","Digital payment processing","Hedosophia Partners IV L.P.","N/A","3/29/2021"
"25","Scalable Capital GmbH",223832,"Cryptocurrency & Stock","Germany","Europe","Seitzstrabe 8E 80538 Munich, Germany","de.scalable.capitalen","N/A","Stock trading app","Hedosophia Partners IV L.P.","N/A","6/21/2021"
"26","Swile",253882,"Software & Tech","France","Europe","561 Rue Geroges Melies 34000 Montpellier, France","swile.co","N/A","Virtual card for employee benefits, particularly meal vouchers","Hedosophia Partners IV L.P.","N/A","7/15/2021"
"27","Webull Corporation",333005,"Cryptocurrency & Stock","Cayman Islands","South America","Sertus Incorporations (Cayman) Limited, Sertus Chambers, Governors Squares, Suite #5-204 23 Lime Tree Bay Avenue, P.O. Box 2547, Grand Cayman, KY1-1104, Cayman Islands","webullcorp.com","N/A","Online stock trading","Hedosophia Partners IV L.P.","N/A","6/10/2021"
"28","Bought by Many Limited",326566,"Other","United Kingdom","Europe","Unit 1B, 1-10 Summers Street London, UK EC1R 5BD","manypets.com","N/A","Health insurance for pets","Hedosophia Partners IV L.P.","N/A","6/4/2021"
"29","Skaleet SA F/K/A Tagpay SA",133964,"Banking","France","Europe","86-90 Rue Du Dome Boulogne Billancourt, 92100 France","skaleet.comenabout-us","N/A","Backend finance software for banks","Long Arc Capital Fund |, L.P.","84-3852891","9/20/2021"
"30","Fireblocks Ltd.",477298,"Software & Tech","Israel","Middle East","150 Begin Menachem Rd Tel Aviv-Jaffa, Israel 6492105","fireblocks.com","N/A","Backend infrastructure for digital money transfers and cryptocurrency","Stripes V(A) Offshore AIV, LP","98-1576367","2/18/2021"
"31","Barbara Sturm Molecular Cosmetics GmbH",235443,"Medicine & Biotech","Germany","Europe","Konigsallee 24 40212 Dusseldorft, Germany","drsturm.com","N/A","Skincare and cosmetics products","Stripes V(A) Offshore AIV, LP","98-1576367","3/8/2021"
"32","Orca Security Ltd.",239026,"Cybersecurity","Israel","Middle East","Hamasger St 66 Tel Aviv-Yafo, Israel 6721714","orca.security","N/A","Cybersecurity firm specializing in cloud security","Stripes V(A) Offshore AIV, LP","98-1576367","8/4/2021"
