"","Company_Name","Amount_Dollars","Country","Region","Company_Address","Company_Website","Company_EIN","Description","Sector","Fund_Name","Fund_EIN","Date"
"61","Bizmo Technologies Pte. Ltd.",46613,"Singapore","Asia","68 Circular Road #02-01 Singapore, 049422","bizmo-tech.com","N/A","Software development contractor","Software & Tech","Valar Fund VI, LP","84-4735286","11/1/2021"
"62","Bizmo Technologies Pte. Ltd.",65272,"Singapore","Asia","68 Circular Road #02-01 Singapore, 049422","bizmo-tech.com","N/A","Software development contractor","Software & Tech","Valar Fund VII LP","86-2223256","11/1/2021"
"63","Yoco Holdings C1/GBL",225036,"South Africa","Africa","56 Shortmarket Street Cape Town, 8001, South Africa","yoco.com","N/A","Card machines and online payment vendor","Software & Tech","Hedosophia Partners IV L.P.","N/A","6/14/2021"
"64","Glovoapp23, S.L.",321423,"Spain","Europe","Calle Pujades, Number 94 Barcelona, Spain","glovoapp.comen","N/A","Food delivery app","Software & Tech","Hedosophia Partners IV L.P.","N/A","4/27/2021"
"65","The Power MBA",231645,"Spain","Europe","Calle Francisco Silvea, 42 Madrid, 28028, Spain","thepower.educationen","N/A","Online business masters program","Education","Hedosophia Partners IV L.P.","N/A","8/25/2021"
"66","Kry International AB",282096,"Sweden","Europe","Torsgatan 21, 113 21 113 21 Stockholm, Sweden","kry.health","N/A","Telehealth software","Medicine & Biotech","Hedosophia Partners IV L.P.","N/A","5/14/2021"
"67","Majority AB",152726,"Sweden","Europe","Jakobsbergsgatan 16 Stockholm, Sweden, 111 44","majority.com","N/A","Mobile banking for non-citizens residing in the U.S.","Banking","Valar Fund VII LP","86-2223256","Various"
"68","Portofino Technologies AG",148019,"Switzerland","Europe","Dammstrasse 18 6300 Zug, Switzerland","portofino.tech","N/A","Software infrastructure for cryptocurrency","Cryptocurrency & Stock","Valar Fund VII LP","86-2223256","Various"
"69","Dream Games Holdings Ltd",244940,"Turkey","Eurasia","102/60 Sisli Istanbul Turkey","dreamgames.com","N/A","Developer of mobile games including Royal Match and Royal Kingdom","Software & Tech","Index Ventures Growth VI (Jersey) L.P.","98-1614524","12/20/2021"
"70","SNYK, Ltd",341712,"United Kingdom","Europe","50 Broadway, Suite 4, 7th Floor London, UK SW1H ODB","snyk.io","N/A","AI-first cybersecurity platform","Cybersecurity","Stripes III Offshore AIV, LP","98-1257392","4/26/2021"
"71","Bought by Many Limited",326566,"United Kingdom","Europe","Unit 1B, 1-10 Summers Street London, UK EC1R 5BD","manypets.com","N/A","Health insurance for pets","Other","Hedosophia Partners IV L.P.","N/A","6/4/2021"
"72","Lion TopCo Limited",204312,"United Kingdom","Europe","10 Bressenden Place London, UK SW1E 5DH",NA,"N/A","[No verifiable details]","[No verifiable details]","Marlin Equity V, LP","98-1347330","9/23/2021"
"73","Synthesia Limited",167368,"United Kingdom","Europe","16 Dufours Place London, UK W1F 7SP","synthesia.io","N/A","AI video generation","Gen AI","Firstmark Capital V, L.P.","84-3747650","Various"
"74","Kuda Technologies Limited",175130,"United Kingdom","Europe","5 New Street Square London, UK EC4A 3TW","kuda.com","N/A","Mobile banking app based in Africa","Banking","Valar Fund VII LP","86-2223256","8/3/2021"
"75","Motorway Online Ltd",153880,"United Kingdom","Europe","International House, 24 Holborn Viaduct London, England, EC1A 2BN, UK","motorway.co.uk","N/A","Mobile-first used car reseller","Software & Tech","Index Ventures Growth VI (Jersey) L.P.","98-1614524","11/23/2021"
"76","Kuda Technologies Limited",266551,"United Kingdom","Europe","5 New Street Square London, UK EC4A 3TW","kuda.com","N/A","Mobile banking app based in Africa","Banking","Valar Fund VI LP","84-4735286","2/24/2021"
"77","Tangerine Financial Limited",95006,"United Kingdom","Europe","54 Portland Place London, UK W1B 1DY",NA,"N/A","[Company dissolved in 2024]",NA,"Sango Capital Partners L.P.","98-1094492","10/15/2021"
